performance_bin,bin_left,bin_right,n_perturbations,mean_performance,n_unique_sources,n_unique_targets,n_unique_connections,source_entropy,target_entropy
"(-0.000792, 0.0792]",-0.000792,0.0792,1,0.0,1,1,1,0.0,0.0
"(0.475, 0.555]",0.475,0.555,11,0.5443650869417598,5,9,11,1.4681399390162087,2.1458417525947544
"(0.555, 0.634]",0.555,0.634,21,0.5722049157742034,10,14,21,2.227437653094697,2.532591160801121
"(0.634, 0.713]",0.634,0.713,3,0.6867081661662282,3,3,3,1.0986122886681096,1.0986122886681096
"(0.713, 0.792]",0.713,0.792,769,0.7610447800171741,63,116,769,3.84613075489217,4.505620297436183
