source,sensitivity_mean,sensitivity_std,sensitivity_max,n_perturbations,delta_mean,delta_std
Am,0.0,0.0,0.0,11,-0.0,0.0
C2,0.0305,0.0738,0.2073,14,-0.0303,0.0739
C3,0.0224,0.0599,0.2076,22,-0.0212,0.0603
CT1(Lo1),0.0166,0.0153,0.041,6,-0.0143,0.0179
CT1(M10),0.0195,0.0187,0.0519,6,-0.0187,0.0197
L1,0.0,0.0,0.0,6,-0.0,0.0
L2,0.0,0.0,0.0,16,-0.0,0.0
L3,0.0049,0.0126,0.0511,16,-0.0034,0.0131
L4,0.006,0.0102,0.0335,18,-0.0057,0.0104
L5,0.0008,0.0022,0.0086,17,0.0008,0.0022
Lawf1,0.0,,0.0,1,-0.0,
Lawf2,0.0009,0.0014,0.0026,3,-0.0008,0.0015
Mi1,0.0475,0.0766,0.2172,29,-0.0428,0.0794
Mi10,0.0041,0.0061,0.0151,11,-0.0004,0.0074
Mi12,0.0042,0.0076,0.0194,6,-0.0024,0.0085
Mi13,0.0327,0.067,0.1977,8,-0.0276,0.0696
Mi14,0.0038,0.0065,0.0113,3,-0.0038,0.0065
Mi15,0.0012,0.0013,0.0028,5,-0.0001,0.0019
Mi2,0.0066,0.0077,0.0199,6,0.0055,0.0086
Mi3,0.0011,0.0012,0.002,2,0.0011,0.0012
Mi4,0.0504,0.0831,0.2488,27,-0.0483,0.0844
Mi9,0.0179,0.0483,0.2173,25,-0.0159,0.0491
R1,0.0047,0.0105,0.0235,5,-0.0047,0.0105
R2,0.0038,0.0084,0.0188,5,-0.0038,0.0084
R3,0.0,0.0001,0.0001,5,-0.0,0.0001
R4,0.0074,0.0166,0.0372,5,-0.0074,0.0166
R5,0.0073,0.0164,0.0367,5,-0.0073,0.0164
R6,0.0416,0.0929,0.2078,5,-0.0416,0.0929
R7,0.0016,0.0015,0.0036,5,-0.001,0.0021
R8,0.0911,0.2521,0.7626,9,-0.09,0.2526
T1,0.0,0.0,0.0,3,-0.0,0.0
T2,0.0614,0.0929,0.1823,6,-0.0603,0.0938
T2a,0.005,0.012,0.0367,9,-0.0046,0.0122
T3,0.0804,0.1155,0.2133,3,-0.0804,0.1155
T4a,0.0036,0.0045,0.0126,9,0.0019,0.0056
T4b,0.0053,0.0057,0.0148,6,0.002,0.0078
T4c,0.0004,0.0006,0.0015,7,-0.0004,0.0006
T4d,0.0002,0.0003,0.0007,6,-0.0001,0.0003
T5a,0.0002,0.0003,0.0008,7,0.0001,0.0003
T5b,0.0001,0.0001,0.0003,8,-0.0,0.0001
T5c,0.0001,0.0002,0.0004,7,-0.0001,0.0002
T5d,0.0001,0.0001,0.0003,6,0.0001,0.0001
Tm1,0.0033,0.0064,0.0253,32,-0.0007,0.0072
Tm16,0.0001,0.0003,0.0012,30,0.0001,0.0003
Tm2,0.0,0.0,0.0,44,-0.0,0.0
Tm20,0.0044,0.004,0.0111,10,-0.0,0.0061
Tm28,0.0,0.0,0.0,6,0.0,0.0
Tm3,0.0301,0.0713,0.215,44,-0.0294,0.0716
Tm4,0.0004,0.0007,0.0027,44,-0.0002,0.0008
Tm5Y,0.0001,0.0001,0.0003,10,0.0,0.0001
Tm5a,0.0003,0.0003,0.0006,4,-0.0003,0.0003
Tm5b,0.001,0.0012,0.0031,10,-0.0008,0.0014
Tm5c,0.044,0.0802,0.1957,10,-0.0439,0.0802
Tm9,0.0018,0.004,0.0148,26,-0.0007,0.0043
TmY10,0.0007,0.0013,0.0043,20,0.0004,0.0014
TmY13,0.0017,0.0019,0.005,10,-0.0004,0.0025
TmY14,0.0,0.0,0.0,12,-0.0,0.0
TmY15,0.0204,0.0451,0.2077,40,-0.0156,0.047
TmY18,0.0015,0.0024,0.0067,14,0.0013,0.0025
TmY3,0.0,0.0,0.0,16,-0.0,0.0
TmY4,0.0004,0.0008,0.0025,18,-0.0004,0.0008
TmY5a,0.0034,0.0033,0.0098,20,-0.0021,0.0043
TmY9,0.0048,0.0048,0.0106,6,0.0048,0.0048
